city,lat,lng,pop,country,iso2,iso3,province,city_ascii
Coatzacoalcos,18.12040428,-94.4200096,259001,Mexico,MX,MEX,Veracruz,Coatzacoalcos
Popayan,2.419993102,-76.61001144,258750,Colombia,CO,COL,Cauca,Popayan
San Salvador de Jujuy,-24.1833443,-65.30002995,258739,Argentina,AR,ARG,Jujuy,San Salvador de Jujuy
Nonthaburi,13.83368919,100.4833134,258550,Thailand,TH,THA,Nonthaburi,Nonthaburi
Karimnagar,18.4604352,79.10999263,258498,India,IN,IND,Andhra Pradesh,Karimnagar
Reading,51.46997072,-0.980028322,257752,United Kingdom,GB,GBR,Oxfordshire,Reading
Rio Branco,-9.966589336,-67.80000655,257642,Brazil,BR,BRA,Acre,Rio Branco
Etawah,26.78545677,79.01495968,257448,India,IN,IND,Uttar Pradesh,Etawah
Columbia,34.0399752,-80.89998214,257185.5,United States of America,US,USA,South Carolina,Columbia
Durham,35.99995892,-78.91999964,257114.5,United States of America,US,USA,North Carolina,Durham
Kostroma,57.77002545,40.94002274,256955.5,Russia,RU,RUS,Kostroma,Kostroma
Hampton,37.03002525,-76.34994979,256601.5,United States of America,US,USA,Virginia,Hampton
Ondo,7.0904057,4.840004027,256444,Nigeria,NG,NGA,Ondo,Ondo
Damaturu,11.74899608,11.96600457,255895,Nigeria,NG,NGA,Yobe,Damaturu
Nuevo Laredo,27.4999868,-99.55000655,255152.5,Mexico,MX,MEX,Tamaulipas,Nuevo Laredo
Taganrog,47.22999697,38.91999101,254960,Russia,RU,RUS,Rostov,Taganrog
Gorontalo,0.549978047,123.0700484,254846,Indonesia,ID,IDN,Gorontalo,Gorontalo
Hat Yai,6.996432107,100.4714278,254825,Thailand,TH,THA,Songkhla,Hat Yai
Kanggye,40.97322125,126.6032177,254522,North Korea,KP,PRK,Chagang-do,Kanggye
Chuxiong,25.03641624,101.5455741,254370,China,CN,CHN,Yunnan,Chuxiong
Cirebon,-6.733298321,108.5666442,254298,Indonesia,ID,IDN,Jawa Barat,Cirebon
Charleston,32.79237693,-79.99210474,254295,United States of America,US,USA,South Carolina,Charleston
Long Xuyen,10.38038576,105.4200146,254076.5,Vietnam,VN,VNM,An Giang,Long Xuyen
Sanya,18.25910454,109.5040317,253721,China,CN,CHN,Hainan,Sanya
MÅnster,51.97040529,7.620041055,253612.5,Germany,DE,DEU,Nordrhein-Westfalen,Munster
Xichang,27.88001528,102.2999983,253390,China,CN,CHN,Sichuan,Xichang
Rivne,50.61658612,26.25280554,253261,Ukraine,UA,UKR,Rivne,Rivne
Tongchuan,35.07998924,109.0299751,252930.5,China,CN,CHN,Shaanxi,Tongchuan
Rach Gia,10.01539512,105.0913525,252830,Vietnam,VN,VNM,Kiàn Giang,Rach Gia
Bidar,17.92292279,77.5175317,252103.5,India,IN,IND,Karnataka,Bidar
Anchorage,61.21996991,-149.9002149,252068,United States of America,US,USA,Alaska,Anchorage
Temuco,-38.73000161,-72.57999903,252015,Chile,CL,CHL,La Araucan°a,Temuco
Borujerd,33.91995668,48.8000081,251958,Iran,IR,IRN,Lorestan,Borujerd
Encarnacion,-27.34718482,-55.87391878,251813.5,Paraguay,PY,PRY,Itap£a,Encarnacion
Vologda,59.20998924,39.91998165,251692,Russia,RU,RUS,Vologda,Vologda
Kiel,54.33039044,10.13001705,251092.5,Germany,DE,DEU,Schleswig-Holstein,Kiel
Chenzhou,25.80042645,113.0300927,251017.5,China,CN,CHN,Hunan,Chenzhou
Uruapan,19.42037661,-102.0700078,250919.5,Mexico,MX,MEX,Michoac†n,Uruapan
Suihua,46.63042116,126.9799906,250903,China,CN,CHN,Heilongjiang,Suihua
Sonipat,28.9999986,77.01999101,250521,India,IN,IND,Haryana,Sonipat
Dire Dawa,9.58999473,41.86001827,250325.5,Ethiopia,ET,ETH,Dire Dawa,Dire Dawa
Yuxi,24.37999636,102.5700077,250077,China,CN,CHN,Yunnan,Yuxi
Podolsk,55.38042971,37.52994665,250017.5,Russia,RU,RUS,Moskovsskaya,Podolsk
Corpus Christi,27.74281435,-97.40189478,249977.5,United States of America,US,USA,Texas,Corpus Christi
Cranbourne,-38.09960081,145.2833695,249955,Australia,AU,AUS,Victoria,Cranbourne
Balikesir,39.6503821,27.89001827,249833.5,Turkey,TR,TUR,Balikesir,Balikesir
Georgetown,6.801973693,-58.16702865,249683.5,Guyana,GY,GUY,East Berbice-Corentyne,Georgetown
Kashan,33.98041811,51.57999345,249394.5,Iran,IR,IRN,Esfahan,Kashan
Hafar al Batin,28.43365074,45.96007808,249194,Saudi Arabia,SA,SAU,Ash Sharqiyah,Hafar al Batin
Minna,9.619992898,6.550028848,249038,Nigeria,NG,NGA,Niger,Minna
Haarlem,52.38043194,4.629991006,248773.5,Netherlands,NL,NLD,Noord-Holland,Haarlem
Phan Thiet,10.933737,108.1000577,248749,Vietnam,VN,VNM,Bçnh Thu?n,Phan Thiet
Miami Beach,25.80991953,-80.13178111,248538,United States of America,US,USA,Florida,Miami Beach
Buon Me Thuot,12.66704205,108.0499833,248460,Vietnam,VN,VNM,Dak Lak,Buon Me Thuot
Petrozavodsk,61.84998313,34.28001583,248350.5,Russia,RU,RUS,Karelia,Petrozavodsk
Fuyu,45.18038047,124.8200191,247804.5,China,CN,CHN,Jilin,Fuyu
Kohat,33.60268923,71.43268347,247227,Pakistan,PK,PAK,N.W.F.P.,Kohat
Mbale,1.090410175,34.1699967,247084,Uganda,UG,UGA,Bungokho,Mbale
Buenaventura,3.872402425,-77.05045329,246596,Colombia,CO,COL,Valle del Cauca,Buenaventura
Sivas,39.74541506,37.03498979,245801.5,Turkey,TR,TUR,Sivas,Sivas
Sousse,35.82999514,10.62502559,245563.5,Tunisia,TN,TUN,Sousse,Sousse
Varna,43.21564252,27.89528926,245522,Bulgaria,BG,BGR,Varna,Varna
Makurdi,7.729979064,8.530011351,245367.5,Nigeria,NG,NGA,Benue,Makurdi
Guantanamo,20.1452936,-75.20614364,245069.5,Cuba,CU,CUB,Guant†namo,Guantanamo
Lexington,38.05001467,-84.50002079,244972,United States of America,US,USA,Kentucky,Lexington
Columbia,38.95207847,-92.33390955,244754,United States of America,US,USA,Missouri,Columbia
Hebi,35.95037539,114.2200459,244662,China,CN,CHN,Henan,Hebi
Bauchi,10.3103642,9.84000891,244350.5,Nigeria,NG,NGA,Bauchi,Bauchi
Thu Dau Mot,10.96907408,106.6527455,244277,Vietnam,VN,VNM,Bçnh Duong,Thu Dau Mot
Imphal,24.79997072,93.95001705,244254.5,India,IN,IND,Manipur,Imphal
Lincoln,40.81997479,-96.68000086,244146,United States of America,US,USA,Nebraska,Lincoln
Elgin,42.03946108,-88.28991866,244050,United States of America,US,USA,Illinois,Elgin
Jessore,23.17043194,89.19997107,243987,Bangladesh,BD,BGD,Khulna,Jessore
San Bernardo,-33.59997882,-70.69998458,243950,Chile,CL,CHL,Regi¢n Metropolitana de Santiago,San Bernardo
Gunsan,35.98176575,126.7160215,243743,South Korea,KR,KOR,Jeollabuk-do,Gunsan
Kirovohrad,48.50405357,32.26029415,243573.5,Ukraine,UA,UKR,Kirovohrad,Kirovohrad
McAllen,26.20303754,-98.22972538,243291,United States of America,US,USA,Texas,McAllen
Nam Dinh,20.42003135,106.2000187,243186,Vietnam,VN,VNM,Nam ??nh,Nam Dinh
Hapur,28.74365765,77.76278804,242920,India,IN,IND,Uttar Pradesh,Hapur
Graz,47.0777582,15.41000484,242780,Austria,AT,AUT,Steiermark,Graz
Morogoro,-6.820011374,37.66001623,242718.5,Tanzania,TZ,TZA,Morogoro,Morogoro
Prokopyevsk,53.89997744,86.70999385,242547,Russia,RU,RUS,Kemerovo,Prokopyevsk
Chimoio,-19.12003579,33.47003943,242538.5,Mozambique,MZ,MOZ,Manica,Chimoio
Kassel,51.30000694,9.500029662,242212.5,Germany,DE,DEU,Hessen,Kassel
Varzea Grande,-15.65001504,-56.14002059,242088,Brazil,BR,BRA,Mato Grosso,Varzea Grande
Boise,43.60859011,-116.2274899,242029,United States of America,US,USA,Idaho,Boise
Hospet,15.28039675,76.37501745,241926.5,India,IN,IND,Karnataka,Hospet
Itajai,-26.89961261,-48.68001083,241421,Brazil,BR,BRA,Santa Catarina,Itajai
Fukui,36.07041974,136.2200468,241288.5,Japan,JP,JPN,Fukui,Fukui
Linchuan,27.97034568,116.3600187,241104,China,CN,CHN,Jiangxi,Linchuan
Limeira,-22.54954222,-47.40001144,241071,Brazil,BR,BRA,S?o Paulo,Limeira
Wonju,37.35514752,127.9396219,240898,South Korea,KR,KOR,Gangwon-do,Wonju
Raichur,16.21036582,77.35500932,240601,India,IN,IND,Karnataka,Raichur
Ternopil,49.53598024,25.5821488,240222,Ukraine,UA,UKR,Ternopil',Ternopil
Braunschweig,52.24997479,10.5000203,239884.5,Germany,DE,DEU,Niedersachsen,Braunschweig
Maseru,-29.31667438,27.48327307,239839.5,Lesotho,LS,LSO,Maseru,Maseru
Sincelejo,9.290426452,-75.37995732,239787.5,Colombia,CO,COL,Sucre,Sincelejo
Mirzapur,25.145376,82.56998816,239754,India,IN,IND,Uttar Pradesh,Mirzapur
Plymouth,50.38538576,-4.159989259,239436,United Kingdom,GB,GBR,Plymouth,Plymouth
Tehuacan,18.4503583,-97.37998397,239370.5,Mexico,MX,MEX,Puebla,Tehuacan
Santa Maria,-29.68331867,-53.80000838,239211.5,Brazil,BR,BRA,Rio Grande do Sul,Santa Maria
Udon Thani,17.4047632,102.7893225,239192,Thailand,TH,THA,Udon Thani,Udon Thani
Paramaribo,5.83503013,-55.16703089,238963,Suriname,SR,SUR,Paramaribo,Paramaribo
Ensenada,31.86997845,-116.6199982,238751,Mexico,MX,MEX,Baja California,Ensenada
Caruaru,-8.280025616,-35.98001083,238732.5,Brazil,BR,BRA,Pernambuco,Caruaru
Orizaba,18.85002382,-97.12999923,238340.5,Mexico,MX,MEX,Veracruz,Orizaba
As Sib,23.68024579,58.18253617,237816,Oman,OM,OMN,Muscat,As Sib
Manisa,38.63039268,27.43996822,237700,Turkey,TR,TUR,Manisa,Manisa
Winston-Salem,36.10543052,-80.25999536,237491.5,United States of America,US,USA,North Carolina,Winston-Salem
Tegal,-6.869569073,109.1199955,237084,Indonesia,ID,IDN,Jawa Tengah,Tegal
Sylhet,24.90355613,91.87360632,237000,Bangladesh,BD,BGD,Sylhet,Sylhet
Soc Trang,9.603740661,105.9800321,236961,Vietnam,VN,VNM,S¢c Trang,Soc Trang
Sambalpur,21.47040651,83.97005774,236869.5,India,IN,IND,Orissa,Sambalpur
Shimonoseki,33.96543194,130.9454333,236198.5,Japan,JP,JPN,Yamaguchi,Shimonoseki
Dera Ghazi Khan,30.06039899,70.63505774,236093,Pakistan,PK,PAK,Punjab,Dera Ghazi Khan
Sahiwal,30.67173118,73.11180579,235695,Pakistan,PK,PAK,Punjab,Sahiwal
Dzerzhinsk,56.25037661,43.46002397,235457.5,Russia,RU,RUS,Nizhegorod,Dzerzhinsk
Freiburg,48.00041506,7.869948281,235427.5,Germany,DE,DEU,Baden-WÅrttemberg,Freiburg
Sapele,5.890427265,5.680004434,235424,Nigeria,NG,NGA,Delta,Sapele
Daloa,6.889978657,-6.450004518,235410,Ivory Coast,CI,CIV,Haut-Sassandra,Daloa
Al Jubayl,27.00464235,49.64600297,235237,Saudi Arabia,SA,SAU,Ash Sharqiyah,Al Jubayl
Kediri,-7.789616273,112.0000264,235143,Indonesia,ID,IDN,Jawa Timur,Kediri
Santa Clara,22.40001385,-79.9666541,234900,Cuba,CU,CUB,Villa Clara,Santa Clara
Ibb,13.97585105,44.17088497,234837,Yemen,YE,YEM,Ibb,Ibb
Uberaba,-19.7799955,-47.9500037,234807,Brazil,BR,BRA,Minas Gerais,Uberaba
Tacloban,11.25043601,125.0000081,234548,Philippines,PH,PHL,Leyte,Tacloban
Santa Ana,-13.7600012,-65.57996118,234478,Bolivia,BO,BOL,El Beni,Santa Ana
Juliaca,-15.49999835,-70.13996708,234428,Peru,PE,PER,Callao,Juliaca
Yanbu al Bahr,24.09427736,38.0492948,233875.5,Saudi Arabia,SA,SAU,Al Madinah,Yanbu al Bahr
Pamplona,42.82000775,-1.649987428,233855.5,Spain,ES,ESP,Comunidad Foral de Navarra,Pamplona
Al-Qatif,26.5196332,50.01151037,233575.5,Saudi Arabia,SA,SAU,Ash Sharqiyah,Al-Qatif
Yumen,39.83003522,97.72999304,233097,China,CN,CHN,Gansu,Yumen
Swansea,51.6299868,-3.950002077,232611,United Kingdom,GB,GBR,Swansea,Swansea
èrhus,56.157204,10.21068396,232325.5,Denmark,DK,DNK,Midtjylland,Aarhus
Worcester,42.27042889,-71.80002079,232290.5,United States of America,US,USA,Massachusetts,Worcester
Saidpur,25.80042645,88.99998328,232209,Bangladesh,BD,BGD,Rajshahi,Saidpur
Los Mochis,25.78998781,-108.9999982,231824,Mexico,MX,MEX,Sinaloa,Los Mochis
Angarsk,52.56000755,103.9200028,231719,Russia,RU,RUS,Irkutsk,Angarsk
Turkmenabat,39.11000165,63.58003617,231665.5,Turkmenistan,TM,TKM,Chardzhou,Turkmenabat
Provo,40.24889854,-111.63777,231238,United States of America,US,USA,Utah,Provo
Tampere,61.5000045,23.75001257,230983,Finland,FI,FIN,Pirkanmaa,Tampere
Ploiesti,44.94690635,26.036488,230696.5,Romania,RO,ROU,Prahova,Ploiesti
Khammam,17.28042971,80.16005774,230671,India,IN,IND,Andhra Pradesh,Khammam
Syktyvkar,61.65999473,50.81998816,230524.5,Russia,RU,RUS,Komi,Syktyvkar
Nis,43.33041587,21.8999963,230444,Serbia,RS,SRB,Ni?avski,Nis
Novorossiysk,44.72996869,37.76993201,229927,Russia,RU,RUS,Krasnodar,Novorossiysk
Noginsk,64.48331077,91.23333533,229731,Russia,RU,RUS,Evenk,Noginsk
Mbandaka,0.040035013,18.26001176,229590.5,Congo (Kinshasa),CD,COD,êquateur,Mbandaka
Hualien,23.98374147,121.6000089,229563,Taiwan,TW,TWN,Hualien,Hualien
Nawabshah,26.24543805,68.40000037,229504,Pakistan,PK,PAK,Sind,Nawabshah
Cotabato,7.216909606,124.2484261,229476,Philippines,PH,PHL,Shariff Kabunsuan,Cotabato
Bharatpur,27.25036379,77.50001339,229384,India,IN,IND,Rajasthan,Bharatpur
Cascavel,-24.95957599,-53.46002914,229300,Brazil,BR,BRA,Paran†,Cascavel
Vung Tau,10.35537437,107.0849776,229225,Vietnam,VN,VNM,BÖ R?a?V?ng TÖu,Vung Tau
Iskenderun,36.58041445,36.17002966,228954,Turkey,TR,TUR,Hatay,Iskenderun
Itu,-23.26004148,-47.30001754,228878,Brazil,BR,BRA,S?o Paulo,Itu
Er Rachidia,31.94041343,-4.449971559,228489,Morocco,MA,MAR,Meknäs - Tafilalet,Er Rachidia
Nukus,42.47000327,59.61500688,228211,Uzbekistan,UZ,UZB,Karakalpakstan,Nukus
Cagliari,39.22239789,9.103981485,227880,Italy,IT,ITA,Sardegna,Cagliari
Petrolina,-9.380010153,-40.50996688,227817.5,Brazil,BR,BRA,Pernambuco,Petrolina
Ogden,41.23237856,-111.9680341,227774,United States of America,US,USA,Utah,Ogden
Oruro,-17.97995034,-67.12999577,227592.5,Bolivia,BO,BOL,Oruro,Oruro
Ambon,-3.716686586,128.2000195,227561,Indonesia,ID,IDN,Maluku,Ambon
Little Rock,34.73608258,-92.33109318,227555,United States of America,US,USA,Arkansas,Little Rock
Hyeson,41.39273053,128.1927331,227461,North Korea,KP,PRK,Ryanggang,Hyeson
Pondicherry,11.93499371,79.83000037,227411,India,IN,IND,Puducherry,Pondicherry
Magdeburg,52.13042137,11.62000362,227378.5,Germany,DE,DEU,Sachsen-Anhalt,Magdeburg
Taiping,4.864960143,100.7199914,227371,Malaysia,MY,MYS,Perak,Taiping
